CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc
Al1Au1_GaAu_sym11_8_0,1_Neigh,11,False,False
Al1Au1_GaAg_sym11_2_0,1_Neigh,11,False,False
Al1Au1_AlAg_sym11_4_0,1_Neigh,11,False,False
Al1Au1_GaAu_sym2_9_0,1_Neigh,2,True,False
Al1Au1_GaAg_sym59_3_0,1_Neigh,59,True,True
Al1Au1_GaAu_sym221_7_0,1_Neigh,221,False,False
Al1Au1_GaAu_sym221_1_0,1_Neigh,221,False,False
Al1Au1_GaAu_sym123_3_0,1_Neigh,123,False,False
Al1Au1_GaAu_sym12_10_0,1_Neigh,12,False,False
Al1Au1_AlAg_sym12_5_0,1_Neigh,12,False,False
Al1Au1_AlAg_sym187_2_0,1_Neigh,187,False,False
Al1Au1_GaAu_sym187_6_0,1_Neigh,187,False,False
Al1Au1_GaAg_sym187_1_0,1_Neigh,187,False,False
Al1Au1_GaAu_sym216_5_0,1_Neigh,216,False,False
Al1Au1_GaAu_sym62_0_0,1_Neigh,62,True,False
Al1Au1_GaAu_sym225_4_0,1_Neigh,225,False,False
Al1Au1_AlAg_sym166_0_0,1_Neigh,166,False,False
Al1Au1_AlAg_sym166_3_0,1_Neigh,166,False,True
Al1Au1_GaAg_sym166_0_0,1_Neigh,166,False,False
Al1Au1_GaAu_sym166_2_0,1_Neigh,166,False,False
Al1Au1_AlAg_sym51_7_0,1_Neigh,51,False,False
Al1Au1_AlAg_sym51_1_0,1_Neigh,51,False,False
